text,label,feature_score,urgency_score,financial_score,authority_score,threat_score,technical_score,matched_phrases
go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,0,3.8051,0.0,0.0,0.0,0.0,0.0,"avail, po, available, ab, world, gr"
ok lar joking wif u oni,0,0.3485,0.0,0.0,0.0,0.0,0.0,ki
free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005 text fa to 87121 to receive entry question std txt rate t c s apply 08452810075over18 s,1,31.7389,0.0,0.0,0.0,0.0,0.0,"appl, 121, free entry, ree, 08, ts, 18, std, rate, entry, apply, 100, 45, txt, wkly, 200, receive, final, win, comp"
u dun say so early hor u c already then say,0,0.8546,0.0,0.0,0.0,0.0,0.0,"al, ready"
nah i don t think he goes to usf he lives around here though,0,1.2351,0.0,0.0,0.0,0.0,0.0,"live, sf"
freemsg hey there darling it s been 3 week s now and no word back i d like some fun you up for it still tb ok xxx std chgs to send 1 50 to rcv,1,11.9926,0.0,0.0,0.0,0.0,0.0,"freemsg, ree, std, 50, ac, ms, free, ke, hg, word, rd, till, se, week, send, msg, fun, end, freemsg hey"
even my brother is not like to speak with me they treat me like aids patent,0,2.0031,0.0,0.0,0.0,0.0,0.0,"ke, pe, sp"
as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press 9 to copy your friends callertune,0,5.7878,0.0,0.0,0.0,0.0,0.0,"caller, rs, min, pe, al, ur friends, tt, se, end, pre"
winner as a valued network customer you have been selected to receivea 900 prize reward to claim call 09061701461 claim code kl341 valid 12 hours only,1,22.3139,0.0,0.0,0.0,0.0,0.0,"claim, prize, valid, claim code, code, winner, 14, 06, network, receive, rs, win, selected, valued, 70, customer, 00, reward, net, al"
had your mobile 11 months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on 08002986030,1,24.3888,0.0,0.0,0.0,0.0,0.0,"800, 03, ree, 08, 29, ur mob, ur mobile, mobiles, 60, 02, 0800, 80, camera, mobile, latest, mob, free, colour, update, 30"
i m gonna be home soon and i don t want to talk about this stuff anymore tonight k i ve cried enough today,0,1.1107,0.0,0.0,0.0,0.0,0.0,"ab, al"
six chances to win cash from 100 to 20 000 pounds txt csh11 and send to 87575 cost 150p day 6days 16 tsandcs apply reply hl 4 info,1,27.4129,0.0,0.0,0.0,0.0,0.0,"150p, cs, appl, 150, 50p, ts, 000, 16, apply, 100, txt, 50, pounds, 15, po, cash, win, info, reply, pl"
urgent you have won a 1 week free membership in our 100 000 prize jackpot txt the word claim to no 81010 t c www dbuk net lccltd pobox 4403ldnw1a7rw18,1,25.3715,0.8906,0.0,0.0,0.0,0.3273,"claim, prize, 03, ree, pobox, www, uk, 18, 000, 100, members, txt, urgent, ac, rs, po, 40, member, free, box"
i ve been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times,0,4.6216,0.0,0.0,0.0,0.0,0.0,"ke, won, tak, word, al, rd, se, gr"
i have a date on sunday with will,0,0.5833,0.0,0.0,0.0,0.0,0.0,date
xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here xxxmobilemovieclub com n qjkgighjjgcbl,1,9.9116,0.0,0.6818,0.0,0.0,0.0,"wap, club, txt, click, mobile, mob, com, credit, age, link, se, message, movie, ext, bil"
oh k i m watching here,0,0.6458,0.0,0.0,0.0,0.0,0.0,"watch, tc"
eh u remember how 2 spell his name yes i did he v naughty make until i v wet,0,3.5979,0.0,0.0,0.0,0.0,0.0,"member, ke, pe, sp, yes, aug"
fine if that s the way u feel that s the way its gota b,0,1.5,0.0,0.0,0.0,0.0,0.0,"ts, fee"
