phrase,spam_count,ham_count,spam_ratio,weight,category
claim,105,0,1.0,1.0,general
noida,93,0,1.0,1.0,general
prize,85,0,1.0,1.0,general
talktime,72,0,1.0,1.0,general
blyk,69,0,1.0,1.0,general
ke liye,61,0,1.0,1.0,general
blyk aircel,59,0,1.0,1.0,general
24,58,0,1.0,1.0,general
150p,57,0,1.0,1.0,general
bhk,46,0,1.0,1.0,general
guaranteed,46,0,1.0,1.0,general
aircel free,44,0,1.0,1.0,general
blyk aircel free,44,0,1.0,1.0,general
karein,41,0,1.0,1.0,general
reply 24,41,0,1.0,1.0,general
tone,41,0,1.0,1.0,general
valid,41,0,1.0,1.0,general
cs,40,0,1.0,1.0,general
24 hrs,37,0,1.0,1.0,general
visit www,37,0,1.0,1.0,general
reply 24 hrs,36,0,1.0,1.0,general
national,35,0,1.0,1.0,general
replies blyk,34,0,1.0,1.0,general
replies blyk aircel,34,0,1.0,1.0,general
awarded,31,0,1.0,1.0,general
toll free,31,0,1.0,1.0,general
5000,29,0,1.0,1.0,general
gurgaon,29,0,1.0,1.0,general
10p,28,0,1.0,1.0,general
150ppm,28,0,1.0,1.0,general
ringtone,27,0,1.0,1.0,general
validity,25,0,1.0,1.0,general
750,24,0,1.0,1.0,general
plots,23,0,1.0,1.0,general
tones,23,0,1.0,1.0,general
800,21,0,1.0,1.0,general
income,21,0,1.0,1.0,general
ka talktime,21,0,1.0,1.0,general
24hrs,20,0,1.0,1.0,general
dating,20,0,1.0,1.0,general
dial karein,20,0,1.0,1.0,general
extn,20,0,1.0,1.0,general
manya,20,0,1.0,1.0,general
po box,20,0,1.0,1.0,general
premium,20,0,1.0,1.0,general
sq,20,0,1.0,1.0,general
weekly,20,0,1.0,1.0,general
yes reply,20,0,1.0,1.0,general
appl,19,0,1.0,1.0,general
bonus,19,0,1.0,1.0,general
prize guaranteed,19,0,1.0,1.0,general
send stop,19,0,1.0,1.0,general
24 hrs video,18,0,1.0,1.0,general
hrs video,18,0,1.0,1.0,general
recharge par,18,0,1.0,1.0,general
reply 24hrs,18,0,1.0,1.0,general
tnc,18,0,1.0,1.0,general
unsubscribe,18,0,1.0,1.0,general
worth rs,18,0,1.0,1.0,general
1000 cash,17,0,1.0,1.0,general
121,17,0,1.0,1.0,general
3bhk,17,0,1.0,1.0,general
54999,17,0,1.0,1.0,general
deals,17,0,1.0,1.0,general
expires,17,0,1.0,1.0,general
ncr,17,0,1.0,1.0,general
sae,17,0,1.0,1.0,general
urgent mobile,17,0,1.0,1.0,urgency
150,16,0,1.0,1.0,general
8007,16,0,1.0,1.0,general
avail,16,0,1.0,1.0,general
clip,16,0,1.0,1.0,technical
land,16,0,1.0,1.0,general
land line,16,0,1.0,1.0,general
national rate,16,0,1.0,1.0,general
poly,16,0,1.0,1.0,general
rental,16,0,1.0,1.0,general
selected receive,16,0,1.0,1.0,general
txt stop,16,0,1.0,1.0,general
08000930705,15,0,1.0,1.0,general
12hrs,15,0,1.0,1.0,general
30 din,15,0,1.0,1.0,general
account statement,15,0,1.0,1.0,general
await collection,15,0,1.0,1.0,general
din ke,15,0,1.0,1.0,general
din ke liye,15,0,1.0,1.0,general
identifier,15,0,1.0,1.0,general
